Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,12.384615,12.384615,12.144231,12.182693,12.026763,46630400
2018-09-05,11.971154,12.096154,11.769231,12.076923,11.922348,57274400
2018-09-06,12.019231,12.307693,12.019231,12.028846,11.874885,42244500
2018-09-07,11.913462,11.961538,11.798077,11.923077,11.770470,47701800
2018-09-10,11.884615,12.211538,11.875000,12.028846,11.874885,45109600
2018-09-11,11.961538,11.990385,11.759615,11.855769,11.704024,41760000
2018-09-12,11.826923,12.144231,11.759615,12.125000,11.969810,41793000
2018-09-13,12.182693,12.259615,11.951923,12.221154,12.064732,56861700
2018-09-14,12.048077,12.259615,11.903846,12.192307,12.150972,72768500
2018-09-17,12.125000,12.394231,12.115385,12.211538,12.170138,52698400
2018-09-18,12.182693,12.259615,12.076923,12.173077,12.131805,44608500
2018-09-19,12.134615,12.490385,12.076923,12.365385,12.323463,64586100
2018-09-20,12.105769,12.201923,11.884615,11.980769,11.940151,91858600
2018-09-21,11.923077,12.076923,11.692307,11.701923,11.662251,99235800
2018-09-24,11.634615,11.634615,11.153846,11.288462,11.250191,154533400
2018-09-25,11.278846,11.307693,10.788462,10.836538,10.799800,139041900
2018-09-26,10.817307,11.115385,10.778846,10.951923,10.914793,97109500
2018-09-27,10.932693,11.298077,10.923077,11.086538,11.048952,85484000
2018-09-28,11.000000,11.067307,10.817307,10.855769,10.818965,79637000
2018-10-01,12.519231,12.567307,11.480769,11.625000,11.585588,320431000
2018-10-02,11.846154,12.000000,11.317307,11.846154,11.805992,154654000
2018-10-03,11.865385,12.144231,11.807693,12.000000,11.959316,86284700
2018-10-04,11.932693,12.192307,11.865385,12.173077,12.131805,77908500
2018-10-05,12.384615,12.788462,12.365385,12.673077,12.630112,157206800
2018-10-08,13.000000,13.115385,12.750000,13.086538,13.042171,179555400
2018-10-09,13.182693,13.250000,12.894231,13.028846,12.984674,114866000
2018-10-10,12.875000,13.134615,12.721154,12.769231,12.725940,95620700
